customer_id,email,created_at,plan
cus_cfd6ef206e2e,user0@example.com,2025-06-19 21:20:39.502474+00:00,free
cus_1a454976bb1d,user1@example.com,2026-02-12 21:20:39.502474+00:00,pro
cus_7fadf60bd2cd,user2@example.com,2025-08-03 21:20:39.502474+00:00,free
cus_065d59e33ab9,user3@example.com,2025-10-31 21:20:39.502474+00:00,pro
cus_a698ff6a363e,user4@example.com,2026-01-14 21:20:39.502474+00:00,pro
cus_988774fcfc9f,user5@example.com,2025-12-19 21:20:39.502474+00:00,pro
cus_8567fe5f8242,user6@example.com,2026-01-22 21:20:39.502474+00:00,pro
cus_12c946b095a8,user7@example.com,2026-01-27 21:20:39.502474+00:00,free
cus_e6dcadad58d3,user8@example.com,2025-07-13 21:20:39.502474+00:00,free
cus_7370cd24d893,user9@example.com,2025-12-14 21:20:39.502474+00:00,pro
cus_ca6d41a84fe2,user10@example.com,2026-01-17 21:20:39.502474+00:00,free
cus_db6f38335ff4,user11@example.com,2025-01-06 21:20:39.502474+00:00,pro
cus_436142fbd96f,user12@example.com,2026-01-31 21:20:39.502474+00:00,free
cus_e616d7605109,user13@example.com,2025-05-08 21:20:39.502474+00:00,free
cus_504cb6de696e,user14@example.com,2025-11-27 21:20:39.502474+00:00,pro
cus_aeac24cebb0e,user15@example.com,2025-08-08 21:20:39.502474+00:00,free
cus_b8afffc3f058,user16@example.com,2025-11-16 21:20:39.502474+00:00,pro
cus_96ac6e947c4b,user17@example.com,2024-07-14 21:20:39.502474+00:00,free
cus_7fc307eef8f2,user18@example.com,2025-08-22 21:20:39.502474+00:00,pro
cus_9b2d5ba4fc86,user19@example.com,2026-01-01 21:20:39.502474+00:00,free
cus_a7ead28105a1,user20@example.com,2026-02-14 21:20:39.502474+00:00,pro
cus_2bec6faf951c,user21@example.com,2026-02-14 21:20:39.502474+00:00,free
cus_e2fe02867e3f,user22@example.com,2026-01-28 21:20:39.502474+00:00,free
cus_bbea1ab708b7,user23@example.com,2026-01-22 21:20:39.502474+00:00,free
cus_aa370f85040d,user24@example.com,2025-07-23 21:20:39.502474+00:00,pro
cus_707053802498,user25@example.com,2025-11-16 21:20:39.502474+00:00,pro
cus_3e21059ee0d4,user26@example.com,2025-08-26 21:20:39.502474+00:00,free
cus_c7ffc73dbd75,user27@example.com,2026-02-06 21:20:39.502474+00:00,free
cus_f71ebe68f9e8,user28@example.com,2025-08-03 21:20:39.502474+00:00,free
cus_5a35fd80eef5,user29@example.com,2025-12-04 21:20:39.502474+00:00,pro
cus_d4b89c65c79b,user30@example.com,2026-01-19 21:20:39.502474+00:00,free
cus_330585965397,user31@example.com,2026-02-02 21:20:39.502474+00:00,free
cus_e154df84f40d,user32@example.com,2026-01-24 21:20:39.502474+00:00,pro
cus_10cdab0ca893,user33@example.com,2025-11-22 21:20:39.502474+00:00,free
cus_dbd73114d4e9,user34@example.com,2026-01-04 21:20:39.502474+00:00,free
cus_6c8600aa4148,user35@example.com,2025-12-20 21:20:39.502474+00:00,pro
